epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.55109,0.80826,0.5,1,0.69986,0,0,0
2,3.66895,0.74894,0.5,1,0.6733,1.63399e-05,1.63399e-05,1.63399e-05
3,5.62125,0.76618,0.75,1,0.646,3.20197e-05,3.20197e-05,3.20197e-05
4,7.46576,0.75154,0.75,1,0.61831,4.70394e-05,4.70394e-05,4.70394e-05
5,9.20474,0.75515,0.75,1,0.58788,6.13989e-05,6.13989e-05,6.13989e-05
6,10.9504,0.70718,1,1,0.56174,7.50984e-05,7.50984e-05,7.50984e-05
7,12.7043,0.64653,1,1,0.53065,8.81376e-05,8.81376e-05,8.81376e-05
8,14.3877,0.63699,1,1,0.50686,0.000100517,0.000100517,0.000100517
9,16.3788,0.59473,1,1,0.48182,0.000112236,0.000112236,0.000112236
10,18.1818,0.51625,1,1,0.45362,0.000123295,0.000123295,0.000123295
11,19.8981,0.45153,1,1,0.42841,0.000133693,0.000133693,0.000133693
12,21.6439,0.44185,1,1,0.39368,0.000143432,0.000143432,0.000143432
13,23.3191,0.43424,1,1,0.35984,0.00015251,0.00015251,0.00015251
14,25.2112,0.38506,1,1,0.33094,0.000160929,0.000160929,0.000160929
15,27.1536,0.36461,1,1,0.29416,0.000168687,0.000168687,0.000168687
16,29.0316,0.35376,1,1,0.26588,0.000175785,0.000175785,0.000175785
17,30.9595,0.24082,1,1,0.23877,0.000182223,0.000182223,0.000182223
18,32.9167,0.2949,1,1,0.23877,0.000188001,0.000188001,0.000188001
19,34.7547,0.28087,1,1,0.22424,0.000193119,0.000193119,0.000193119
20,36.8422,0.33467,1,1,0.22424,0.000197576,0.000197576,0.000197576
21,38.5836,0.3005,1,1,0.20096,0.000201374,0.000201374,0.000201374
22,40.293,0.25244,1,1,0.20096,0.000204511,0.000204511,0.000204511
23,42.0458,0.26244,1,1,0.16629,0.000206988,0.000206988,0.000206988
24,43.7291,0.21751,1,1,0.16629,0.000208805,0.000208805,0.000208805
25,45.6326,0.19601,1,1,0.14074,0.000209962,0.000209962,0.000209962
26,47.3594,0.21628,1,1,0.14074,0.000210459,0.000210459,0.000210459
27,49.0641,0.2074,1,1,0.10915,0.000210295,0.000210295,0.000210295
28,50.713,0.1583,1,1,0.10915,0.000209472,0.000209472,0.000209472
29,52.4712,0.14649,1,1,0.08986,0.000207988,0.000207988,0.000207988
30,54.3526,0.15507,1,1,0.08986,0.000205844,0.000205844,0.000205844
31,56.5006,0.23672,1,1,0.07791,0.000203041,0.000203041,0.000203041
32,58.2491,0.16338,1,1,0.07791,0.000199577,0.000199577,0.000199577
33,60.0837,0.20844,1,1,0.06588,0.000195452,0.000195452,0.000195452
34,61.8989,0.12931,1,1,0.06588,0.000190668,0.000190668,0.000190668
35,63.6146,0.18105,1,1,0.06109,0.000185224,0.000185224,0.000185224
36,65.3627,0.18706,1,1,0.06109,0.000179119,0.000179119,0.000179119
37,67.153,0.15978,1,1,0.05898,0.000172354,0.000172354,0.000172354
38,68.7276,0.20524,1,1,0.05898,0.00016493,0.00016493,0.00016493
39,70.3517,0.23605,1,1,0.0579,0.000156845,0.000156845,0.000156845
40,71.9085,0.17053,1,1,0.0579,0.0001481,0.0001481,0.0001481
41,73.5617,0.12023,1,1,0.05406,0.000138694,0.000138694,0.000138694
42,75.2022,0.1825,1,1,0.05406,0.000128629,0.000128629,0.000128629
43,77.0204,0.13082,1,1,0.05053,0.000117904,0.000117904,0.000117904
44,78.7038,0.25305,1,1,0.05053,0.000106518,0.000106518,0.000106518
45,80.3328,0.14587,1,1,0.05478,9.44722e-05,9.44722e-05,9.44722e-05
46,81.9402,0.16917,1,1,0.05478,8.17663e-05,8.17663e-05,8.17663e-05
47,83.6645,0.14635,1,1,0.0561,6.84003e-05,6.84003e-05,6.84003e-05
48,85.5001,0.09858,1,1,0.0561,5.43742e-05,5.43742e-05,5.43742e-05
49,87.4059,0.21872,1,1,0.06043,3.96879e-05,3.96879e-05,3.96879e-05
50,89.1197,0.12154,1,1,0.06043,2.43415e-05,2.43415e-05,2.43415e-05
